BMI,Status,Suggestion
18,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
19,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
20,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
21,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
22,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
23,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
24,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
25,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
26,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
27,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
28,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
29,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
30,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
31,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
32,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
18,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
19,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
20,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
21,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
22,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
23,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
24,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
25,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
26,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
27,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
28,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
29,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
30,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
31,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
32,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
18,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
19,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
20,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
21,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
22,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
23,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
24,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
25,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
26,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
27,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
28,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
29,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
30,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
31,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
32,Lose Weight,"Run every day, eat 30g protein, and sleep properly"
18,Stay Healthy,"Increase physical activity, avoid junk food, and maintain hydration"
19,Gain Weight,"Run every day, eat 30g protein, and sleep properly"
20,Lose Weight,"Increase physical activity, avoid junk food, and maintain hydration"
21,Stay Healthy,"Run every day, eat 30g protein, and sleep properly"
22,Gain Weight,"Increase physical activity, avoid junk food, and maintain hydration"
